station_type,applies_to,field_name,display_name,unit,storage_type,source,transformation,required,confidence,notes
met_sandbox,MET-01,wind_speed_ms,Wind speed,meter/second,float,WeatherLink wind speed in mph,mph multiplied by 0.44704,yes,working,retain source_wind_speed_mph
met_sandbox,MET-01,wind_direction_deg,Wind direction,degree,float,Davis wind vane,WeatherLink mapping plus north alignment,yes,working,use latest value rather than arithmetic mean
met_sandbox,MET-01,rainfall_daily_mm,Daily rainfall,millimeter since local midnight,float,WeatherLink rainfall counts,counts multiplied by increment selected by rain_size,yes,working,retain counts and verify local-midnight boundary
met_sandbox,MET-01,rain_rate_mm_hr,Rain rate,millimeter/hour,float,WeatherLink rain rate counts,counts per hour multiplied by increment selected by rain_size,yes,working,verify exact field and tip behavior
met_sandbox,MET-01,solar_radiation_wm2,Solar radiation,watt/meter^2,float,Davis-compatible SUN sensor,WeatherLink field mapping,yes,working,verify physical label and channel
met_sandbox,MET-01,uv_index,UV index,index,float,Davis-compatible UV sensor,WeatherLink field mapping,yes,working,verify physical label and channel
met_sandbox,MET-01,source_temp_f,Source temperature,degree Fahrenheit,float,WeatherLink Local API,retain without conversion,conditional,working,raw companion to air_temp_c
met_sandbox,MET-01,source_wind_speed_mph,Source wind speed,mile/hour,float,WeatherLink Local API,retain without conversion,conditional,working,raw companion to wind_speed_ms
met_sandbox,MET-01,source_rain_size_code,Rain size code,code,integer,WeatherLink Local API,retain without conversion,conditional,working,required to select count increment
met_sandbox,MET-01,source_rainfall_daily_counts,Source daily rain count,count,integer,WeatherLink Local API,retain without conversion,conditional,working,raw companion to rainfall_daily_mm
met_sandbox,MET-01,source_rain_rate_counts_per_hr,Source rain-rate count,count/hour,integer,WeatherLink Local API,retain without conversion,conditional,working,raw companion to rain_rate_mm_hr
external_hobo,HOBO-EXT-01,air_temp_c,Air temperature,degree Celsius,float,MX1104 configured channel,map approved sensor ID and SI unit,conditional,candidate,do not enable before channel readback
external_hobo,HOBO-EXT-01,relative_humidity_pct,Relative humidity,percent,float,MX1104 configured channel,map approved sensor ID and SI unit,conditional,candidate,do not enable before channel readback
external_hobo,HOBO-EXT-01,light_lux,Light,lux,float,MX1104 configured channel,map approved sensor ID and SI unit,conditional,candidate,verify API unit and channel configuration
external_hobo,HOBO-EXT-01,external_analog_raw_v,External analog raw voltage,volt,float,MX1104 external channel,map approved sensor ID and SI unit,conditional,candidate,name the attached sensor before publishing conversion
external_meter,IPERL-PILOT-01,flow_rate_gpm,Flow rate,gallon/minute,float,Signalizer active 4-20 mA output,apply verified full-scale range,conditional,candidate,do not add an external loop supply
external_meter,IPERL-PILOT-01,pulse_count,Flow pulse count,count,integer,Signalizer dry-contact output,debounced GPIO count,conditional,candidate,resolution depends on encoder and DIP switches
external_meter,IPERL-PILOT-01,volume_total_gal,Total volume,gallon,float,Signalizer dry-contact output,pulse count multiplied by verified gallons per pulse,conditional,candidate,preserve reset boundary and compare with meter
external_meter,IPERL-PILOT-01,meter_alarm,Meter alarm,Boolean,Boolean,Signalizer alarm contact,debounced dry-contact state,conditional,candidate,verify alarm polarity
external_meter,IPERL-PILOT-01,signalizer_current_ma,Signalizer current,milliampere,float,Signalizer active output,retain logger reading,conditional,candidate,raw calibration companion
external_meter,IPERL-PILOT-01,logger_input_v,Logger input voltage,volt,float,protected logger input,retain ADC reading,conditional,candidate,raw scaling companion
